titles,authors,nums,peoples
Winning with the P&G 99,CharlieL.Decker/Atria/1998-06-01/USD22.00,8.4,10
博弈危机,徐明天/当代中国出版社/2005-1/30.00元,7.9,10
中国地名灯谜,王德海编/学苑出版社/2004-10/18.5,7.9,0
挡不住的趋势,张明正、陈怡蓁/电子工业出版社/2005-8/29.80元,6.7,73
清末现代企业与官商关系,陈锦江/王笛、张箭/中国社会科学出版社/1997/15.00元,8.2,12
亨利·福特自传,亨利·福特/中国城市出版社/2005-9/28.00元,7.8,137
圈子圈套,王强/清华大学出版社/2006-1/26.00元,8.8,4686
被夸大的使命,吴晓波/浙江人民出版社/2004-5-1/16.00元,7.6,85
中兴通讯,米周、尹生/当代中国出版社/2005-3/35.00元,6.2,30
第一幕后:影响中国社会经济进程的新闻当事人,张之清主笔/广东汕头大学/26.0,6.6,10
缔造中国富豪,"王吉鹏,赵婕著/经济日报出版社/2004-10/28.00元",6.7,21
失落的帝国,约翰・霍夫曼、许锋、郑真/许锋、郑真/机械工业出版社/2005-1-1/23.0,7.9,10
Google成功的七堂课,罗耀宗/电子工业出版社/2005-7/28.00元,7.2,161
圈子圈套,王强/清华大学出版社/2006-1/26.00元,7.1,4686
货币战争,宋鸿兵编著/中信出版社/2007-6/38.00元,6.1,40347
华为四张脸,张贯京/广东经济出版社/2007-4/36.00元,6.4,74
Google品牌战略,尼尔·泰勒/王甜甜/中信出版/2007-5/30.00元,7.3,110
蒙牛管理模式全集,梅晓鹏/武汉大学/2007-3/35.00元,9.1,11
帝国商行,李国荣主编/九州/2007-1/38.00元,7.2,14
王小波全集（第六卷）,王小波/云南人民出版社/2007-1/20.00元,7.9,2197
The Billion Dollar Molecule,BarryWerth/Simon&Schuster/1995-3-1/USD17.00,7.6,10
苹果电脑案例,（美）库鲁圣/李芳龄/中国财政经济出版社/2007-1-1/39.80元,7.3,34
房间里最精明的人,（美）贝萨尼·麦克莱恩/杨励轩、静恩英/中国社会科学出版社/2007-02-01/42.00元,7.8,185
做书店,徐冲/广西师范大学出版社/20070101/28.00元,8.4,297
统治,豆世红/江苏人民出版社/2009-11/25.00元,6.8,32
被夸大的使命,吴晓波/浙江人民出版社/2004-5-1/16.00元,7.6,85
中国品牌大赢家,[英]吉尔摩/中信出版社/2003-6/48.00元,7.6,10
做书店,徐冲/广西师范大学出版社/20070101/28.00元,9.1,297
Inventing the Electronic Century,AlfredD.ChandlerJr./FreePress/2001-11-15/USD35.00,8.4,0
